Wall time,Step,Value
1704336376.80127,46890,45.0
1704336889.754268,47183,47.0
1704337382.483545,47467,49.0
1704337933.832703,47740,45.0
1704338505.177,48040,48.0
1704339055.742954,48335,46.0
1704339615.032419,48625,48.0
1704340116.985936,48916,50.0
1704340654.984516,49193,47.0
1704341222.155478,49474,47.0
1704341747.917997,49774,49.0
1704342284.688231,50062,49.0
1704342810.356071,50358,47.0
1704343314.016817,50650,48.0
1704343813.284852,50932,46.0
1704344337.930752,51211,47.0
1704344887.417662,51505,44.0
1704345407.425907,51810,47.0
1704345921.995277,52102,47.0
1704346427.985721,52389,49.0
1704346927.592084,52671,46.0
1704347460.769464,52950,47.0
1704347985.250744,53243,49.0
1704348646.561573,53524,46.0
1704349181.029568,53847,49.0
1704349730.451573,54132,46.0
1704350292.935748,54429,46.0
1704350985.471048,54733,45.0
1704351582.740108,55054,45.0
1704352108.40851,55350,48.0
1704352637.815222,55633,48.0
1704353165.450939,55923,45.0
1704353699.057325,56214,44.0
1704354226.708885,56509,47.0
1704354735.483977,56801,47.0
1704355270.283305,57077,48.0
1704355807.870744,57364,48.0
1704356341.97214,57654,47.0
1704356861.905907,57948,45.0
1704357383.031826,58234,47.0
1704357927.352585,58520,45.0
1704358477.975838,58814,47.0
1704358997.575215,59110,47.0
1704359502.060123,59386,46.0
1704360023.283114,59665,46.0
1704360512.6143,59955,48.0
1704361030.574026,60228,44.0
1704361576.986496,60518,44.0
1704362093.503714,60823,50.0
1704362625.509137,61111,43.0
1704363137.670161,61407,48.0
1704363680.345311,61692,46.0
1704364176.903068,61996,48.0
1704364695.803666,62272,46.0
1704365220.195668,62561,45.0
1704365746.623325,62854,48.0
1704366304.881709,63130,46.0
1704366879.445003,63430,45.0
1704367407.609321,63730,49.0
1704367985.206355,64008,46.0
1704368506.342344,64313,46.0
1704369021.925655,64602,48.0
1704369577.608161,64877,48.0
1704370075.358289,65170,50.0
1704370561.74489,65445,48.0
1704371097.58252,65714,44.0
1704371616.365141,66013,47.0
1704372133.677251,66304,46.0
1704372656.895087,66593,46.0
1704373186.741205,66885,44.0
1704373714.577107,67184,47.0
1704374226.786243,67477,48.0
1704374746.234103,67759,46.0
1704375270.741219,68047,48.0
1704375788.483824,68335,48.0
1704376302.856675,68624,47.0
1704376831.904171,68911,46.0
1704377361.334361,69206,47.0
1704377873.111977,69501,48.0
1704378419.501118,69787,42.0
1704378933.337898,70093,48.0
1704379422.291311,70380,48.0
1704379941.550526,70652,47.0
1704380429.731921,70942,50.0
1704380940.025049,71215,48.0
1704381421.596908,71499,48.0
1704381930.737498,71767,46.0
1704382454.477169,72052,45.0
1704382956.402194,72345,48.0
1704383441.588672,72627,49.0
1704383985.719645,72898,42.0
1704384497.885865,73204,44.0
1704384999.687335,73492,48.0
1704385515.912829,73773,45.0
1704386011.226984,74062,47.0
1704386511.495668,74340,49.0
1704387026.756068,74620,45.0
1704387563.199989,74910,44.0
1704388090.016431,75212,50.0
1704388624.242834,75507,45.0
1704389156.521187,75807,46.0
1704389685.630097,76105,46.0
1704390194.287139,76400,46.0
1704390781.62698,76687,40.0
1704391308.065517,77015,46.0
1704391828.971663,77312,46.0
1704392323.153269,77603,49.0
1704392843.076865,77880,44.0
1704393343.429799,78172,49.0
1704393834.656282,78452,49.0
1704394344.653576,78726,48.0
1704394881.988371,79013,45.0
1704395377.015455,79313,47.0
1704395899.060786,79591,46.0
1704396437.381375,79882,44.0
1704396914.073253,80185,49.0
1704397436.406483,80452,44.0
1704397946.698486,80745,48.0
1704398459.517908,81031,46.0
1704398967.599413,81317,48.0
1704399468.273226,81602,48.0
1704399979.138417,81883,48.0
1704400508.557033,82169,47.0
1704401030.014752,82466,46.0
1704401557.617829,82759,47.0
1704402059.52019,83054,48.0
1704402572.33465,83335,47.0
1704403082.067935,83623,48.0
1704403571.48624,83910,49.0
1704404102.963299,84185,45.0
1704404619.644462,84482,46.0
1704405128.146257,84772,46.0
1704405640.362619,85057,49.0
1704406157.90362,85345,47.0
1704406656.527078,85633,47.0
1704407189.737775,85912,45.0
1704407772.946051,86210,42.0
1704408328.991954,86517,45.0
1704408833.921518,86810,48.0
1704409505.891251,87088,48.0
1704410100.451221,87405,49.0
1704410615.738953,87705,48.0
1704411171.304547,87982,49.0
1704411729.038704,88267,48.0
1704412308.677763,88567,45.0
1704412866.173646,88870,47.0
1704413374.70115,89171,49.0
1704413894.733808,89450,46.0
1704414413.528236,89735,48.0
1704414914.503365,90017,49.0
1704415452.015171,90292,47.0
1704415983.649839,90582,45.0
1704416555.85704,90872,49.0
1704417085.158265,91159,48.0
1704417595.633838,91439,48.0
1704418164.631639,91717,44.0
1704418706.312694,92012,46.0
1704419225.968671,92308,47.0
1704419772.686003,92590,46.0
1704420344.998924,92890,48.0
1704421016.580983,93174,47.0
1704421542.919319,93486,49.0
1704422134.231961,93762,49.0
1704422660.769131,94063,48.0
1704423238.698461,94344,45.0
1704423789.544534,94656,47.0
1704424316.268723,94958,49.0
1704424826.345722,95247,49.0
1704425361.214525,95528,45.0
1704425897.115003,95825,46.0
1704426398.0209,96123,49.0
1704427005.225913,96400,45.0
1704427574.295244,96710,49.0
1704428116.43258,97009,47.0
1704428699.560264,97306,49.0
1704429225.209412,97617,45.0
1704429741.726631,97904,48.0
1704430280.025608,98186,50.0
1704430785.633185,98478,49.0
1704431325.905179,98755,45.0
1704431858.312156,99050,47.0
1704432374.269793,99341,47.0
1704432900.015001,99628,45.0
1704433422.408433,99920,47.0
1704433942.177725,100209,48.0
1704434468.502404,100497,45.0
1704434994.183994,100789,50.0
1704435515.727686,101080,49.0
1704436010.366524,101368,48.0
1704436545.034147,101643,47.0
1704437085.679269,101940,46.0
